FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20
Action 353: AT=132.90 ms, Type=APPROVE
Action 354: AT=132.90 ms, Type=ISSUE
Action 355: AT=133.80 ms, Type=APPROVE
Action 356: AT=133.80 ms, Type=RETURN
Action 357: AT=134.60 ms, Type=ISSUE
Action 358: AT=134.60 ms, Type=REQUEST
Action 359: AT=135.20 ms, Type=RETURN
Action 360: AT=135.20 ms, Type=RETURN
Action 361: AT=135.90 ms, Type=APPROVE
Action 362: AT=135.90 ms, Type=REQUEST
Action 363: AT=135.90 ms, Type=REQUEST
Action 364: AT=136.70 ms, Type=REQUEST
Action 365: AT=137.60 ms, Type=REQUEST
Action 366: AT=137.60 ms, Type=REQUEST
Action 367: AT=137.60 ms, Type=RETURN
Action 368: AT=138.50 ms, Type=REQUEST
Action 369: AT=139.20 ms, Type=RETURN
Action 370: AT=140.20 ms, Type=REQUEST
Action 371: AT=141.00 ms, Type=RETURN
Action 372: AT=142.00 ms, Type=REQUEST
Action 373: AT=142.00 ms, Type=ISSUE
Action 374: AT=142.00 ms, Type=ISSUE
Action 375: AT=142.90 ms, Type=APPROVE
Action 376: AT=142.90 ms, Type=REQUEST
Action 377: AT=143.80 ms, Type=APPROVE
Action 378: AT=144.40 ms, Type=ISSUE
Action 379: AT=145.00 ms, Type=ISSUE
Action 380: AT=145.00 ms, Type=REQUEST
Action 381: AT=146.00 ms, Type=APPROVE
Action 382: AT=146.00 ms, Type=REQUEST
Action 383: AT=147.00 ms, Type=ISSUE
Action 384: AT=147.70 ms, Type=REQUEST
Action 385: AT=147.70 ms, Type=RETURN
Action 386: AT=148.40 ms, Type=APPROVE
Action 387: AT=148.40 ms, Type=RETURN
Action 388: AT=148.40 ms, Type=ISSUE
Action 389: AT=149.10 ms, Type=RETURN
Action 390: AT=149.60 ms, Type=RETURN
Action 391: AT=149.60 ms, Type=ISSUE
Action 392: AT=149.60 ms, Type=RETURN
Action 393: AT=150.50 ms, Type=REQUEST
Action 394: AT=151.20 ms, Type=ISSUE
Action 395: AT=151.20 ms, Type=ISSUE
Action 396: AT=152.00 ms, Type=ISSUE
Action 397: AT=152.00 ms, Type=APPROVE
Action 398: AT=152.60 ms, Type=RETURN
Action 399: AT=152.60 ms, Type=RETURN
Action 400: AT=153.10 ms, Type=APPROVE
Action 401: AT=153.10 ms, Type=ISSUE
Action 402: AT=153.10 ms, Type=RETURN
Action 403: AT=153.80 ms, Type=APPROVE
Action 404: AT=153.80 ms, Type=RETURN
Action 405: AT=153.80 ms, Type=RETURN
Action 406: AT=154.80 ms, Type=RETURN
Action 407: AT=154.80 ms, Type=RETURN
Action 408: AT=155.30 ms, Type=REQUEST
Action 409: AT=156.10 ms, Type=APPROVE
Action 410: AT=156.10 ms, Type=REQUEST
Action 411: AT=156.10 ms, Type=ISSUE
Action 412: AT=157.00 ms, Type=APPROVE
Action 413: AT=157.00 ms, Type=APPROVE
Action 414: AT=157.00 ms, Type=ISSUE
Action 415: AT=157.80 ms, Type=APPROVE
Action 416: AT=158.80 ms, Type=RETURN
Action 417: AT=159.80 ms, Type=ISSUE
Action 418: AT=159.80 ms, Type=RETURN
Action 419: AT=159.80 ms, Type=REQUEST
Action 420: AT=160.50 ms, Type=ISSUE
Action 421: AT=161.00 ms, Type=APPROVE
Action 422: AT=161.00 ms, Type=ISSUE
Action 423: AT=161.70 ms, Type=APPROVE
Action 424: AT=161.70 ms, Type=RETURN
Action 425: AT=161.70 ms, Type=ISSUE
Action 426: AT=162.20 ms, Type=APPROVE
Action 427: AT=162.20 ms, Type=RETURN
Action 428: AT=162.20 ms, Type=REQUEST
Action 429: AT=163.00 ms, Type=REQUEST
Action 430: AT=163.90 ms, Type=ISSUE
Action 431: AT=163.90 ms, Type=APPROVE
Action 432: AT=164.70 ms, Type=APPROVE
Action 433: AT=164.70 ms, Type=RETURN
Action 434: AT=164.70 ms, Type=ISSUE
Action 435: AT=165.40 ms, Type=RETURN
Action 436: AT=165.40 ms, Type=REQUEST
Action 437: AT=166.20 ms, Type=ISSUE
Action 438: AT=166.20 ms, Type=ISSUE
Action 439: AT=166.20 ms, Type=RETURN
Action 440: AT=167.10 ms, Type=ISSUE
Action 441: AT=167.10 ms, Type=RETURN
Action 442: AT=168.00 ms, Type=ISSUE
Action 443: AT=168.00 ms, Type=ISSUE
Action 444: AT=168.00 ms, Type=ISSUE
Action 445: AT=168.60 ms, Type=RETURN
Action 446: AT=168.60 ms, Type=APPROVE
Action 447: AT=169.50 ms, Type=RETURN
Action 448: AT=169.50 ms, Type=APPROVE
Action 449: AT=169.50 ms, Type=APPROVE
Action 450: AT=170.30 ms, Type=ISSUE
Action 451: AT=171.10 ms, Type=ISSUE
Action 452: AT=171.10 ms, Type=ISSUE
Action 453: AT=171.10 ms, Type=APPROVE
Action 454: AT=171.70 ms, Type=ISSUE
Action 455: AT=171.70 ms, Type=APPROVE
Action 456: AT=171.70 ms, Type=ISSUE
Action 457: AT=172.50 ms, Type=ISSUE
Action 458: AT=172.50 ms, Type=APPROVE
Action 459: AT=172.50 ms, Type=RETURN
Action 460: AT=173.30 ms, Type=APPROVE
Action 461: AT=173.90 ms, Type=ISSUE
Action 462: AT=174.80 ms, Type=APPROVE
Action 463: AT=175.70 ms, Type=RETURN
Action 464: AT=175.70 ms, Type=APPROVE
Action 465: AT=176.50 ms, Type=RETURN
Action 466: AT=176.50 ms, Type=APPROVE
Action 467: AT=177.20 ms, Type=ISSUE
Action 468: AT=177.20 ms, Type=APPROVE
Action 469: AT=177.20 ms, Type=ISSUE
Action 470: AT=178.20 ms, Type=APPROVE
Action 471: AT=178.80 ms, Type=ISSUE
Action 472: AT=178.80 ms, Type=RETURN
Action 473: AT=179.30 ms, Type=REQUEST
Action 474: AT=179.30 ms, Type=APPROVE
Action 475: AT=179.30 ms, Type=RETURN
Action 476: AT=180.20 ms, Type=REQUEST
Action 477: AT=180.20 ms, Type=APPROVE
Action 478: AT=180.20 ms, Type=REQUEST
Action 479: AT=180.70 ms, Type=ISSUE
Action 480: AT=180.70 ms, Type=REQUEST
Action 481: AT=181.50 ms, Type=ISSUE
Action 482: AT=181.50 ms, Type=APPROVE
Action 483: AT=182.20 ms, Type=RETURN
Action 484: AT=182.90 ms, Type=ISSUE
Action 485: AT=182.90 ms, Type=ISSUE
Action 486: AT=182.90 ms, Type=REQUEST
Action 487: AT=183.90 ms, Type=RETURN
Action 488: AT=184.80 ms, Type=RETURN
Action 489: AT=184.80 ms, Type=ISSUE
Action 490: AT=185.30 ms, Type=APPROVE
Action 491: AT=185.30 ms, Type=REQUEST
Action 492: AT=185.30 ms, Type=APPROVE
Action 493: AT=185.80 ms, Type=RETURN
Action 494: AT=185.80 ms, Type=ISSUE
Action 495: AT=185.80 ms, Type=APPROVE
Action 496: AT=186.40 ms, Type=RETURN
Action 497: AT=187.20 ms, Type=REQUEST
Action 498: AT=187.70 ms, Type=ISSUE
Action 499: AT=188.70 ms, Type=APPROVE
Action 500: AT=188.70 ms, Type=RETURN
Action 501: AT=189.50 ms, Type=REQUEST
Action 502: AT=189.50 ms, Type=APPROVE
Action 503: AT=190.40 ms, Type=APPROVE
Action 504: AT=190.40 ms, Type=REQUEST
Action 505: AT=190.40 ms, Type=ISSUE
Action 506: AT=191.40 ms, Type=APPROVE
Action 507: AT=191.40 ms, Type=REQUEST
Action 508: AT=191.40 ms, Type=ISSUE
Action 509: AT=191.90 ms, Type=REQUEST
Action 510: AT=191.90 ms, Type=ISSUE
Action 511: AT=192.70 ms, Type=ISSUE
Action 512: AT=193.50 ms, Type=ISSUE
Action 513: AT=193.50 ms, Type=RETURN
Action 514: AT=194.40 ms, Type=ISSUE
Action 515: AT=194.40 ms, Type=ISSUE
Action 516: AT=194.40 ms, Type=REQUEST
Action 517: AT=195.00 ms, Type=ISSUE
Action 518: AT=195.00 ms, Type=ISSUE
Action 519: AT=195.00 ms, Type=APPROVE
Action 520: AT=195.80 ms, Type=REQUEST
Action 521: AT=196.80 ms, Type=REQUEST
Action 522: AT=197.80 ms, Type=REQUEST
Action 523: AT=197.80 ms, Type=REQUEST
Action 524: AT=197.80 ms, Type=APPROVE
Action 525: AT=198.50 ms, Type=APPROVE
